Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75	start_76	end_76	start_77	end_77	start_78	end_78	start_79	end_79	start_80	end_80	start_81	end_81	start_82	end_82	start_83	end_83	start_84	end_84	start_85	end_85
360	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	10	3	1	1	1	1	1	1	2	11	2	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	11	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	15	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	3	3	3	3	11	11	3	11	3	3	3	3	3	3	3	15	3	3	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	5	5	5	5	5	5	5	5	5	5	5	5	55	5	55	55
370	5	5	17	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	10	11	1	8	1	1	1	1	1	1	9	4	0	4	3	3	3	3	3	3	3	3	8	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	10	8	10	10	3	3	3	3	3	3	3	9	3	3	10	10	1	1	1	1	10	10	1	10	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	10	5	5	5	5	5	5	5	5	5	5	5	5	32	17	32	32
380	52	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	3	11	1	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	10	15	10	10	1	10	1	1	1	1	1	10	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	52	52
390	49	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	11	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	11	36	11	11	3	3	3	3	11	11	2	2	3	11	3	3	3	3	3	3	3	15	3	3	3	3	1	1	1	1	8	8	8	8	8	8	1	1	1	11	1	1	1	8	1	1	1	1	1	1	1	1	10	1	10	10	10	10	1	10	5	5	5	5	5	17	5	5	5	5	5	5	5	5	49	49
400	19	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	10	3	1	1	1	1	1	1	2	11	1	8	1	1	1	1	1	1	4	4	15	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	24	11	3	3	3	3	3	3	3	15	3	3	8	24	1	1	1	1	8	8	8	8	1	8	1	1	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	5	5	5	5	5	17	5	5	5	5	5	5	5	5	19	19
410	62	5	5	5	5	5	5	5	17	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	1	11	1	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	30	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	30	30	11	30	11	11	3	3	3	3	11	11	2	2	11	11	3	3	3	3	3	3	3	15	3	3	2	11	1	1	1	1	1	1	1	1	1	1	1	1	3	3	10	10	10	10	10	10	10	10	1	1	1	1	1	1	1	1	1	10	1	8	5	5	5	5	1	17	5	17	5	5	5	5	5	5	62	62
420	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	10	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	14	4	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	4	15	15	15	4	4	4	4	4	4	4	4	4	4	12	4	4	12	15	15	3	15	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	14	3	3	3	3	1	1	1	1	1	8	1	1	1	1	1	1	10	10	10	10	1	10	1	1	1	1	1	1	1	1	1	1	10	1	10	10	1	10	5	5	5	5	5	17	5	5	5	5	5	5	5	5	5	5
430	53	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	2	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	11	3	24	2	2	2	3	3	3	3	3	3	3	3	15	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	24	24	24	24	3	11	3	3	3	3	3	15	3	3	1	24	1	1	1	1	1	2	1	1	1	1	1	1	3	3	10	10	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	17	5	5	5	5	5	5	5	5	53	53
440	52	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	11	2	3	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	3	11	3	3	3	3	3	3	3	3	3	15	19	3	1	19	1	1	1	1	8	8	8	8	1	8	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	8	8	33	8	33	33	17	33	5	5	5	5	5	17	5	5	5	5	5	5	5	5	52	52
450	19	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1	2	11	3	3	1	1	1	1	1	1	3	11	1	8	1	1	1	1	1	1	4	4	1	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	23	3	4	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	7	23	3	3	3	3	2	23	2	2	2	2	3	3	3	3	3	3	1	13	3	10	2	11	1	1	1	1	1	10	1	1	1	1	1	1	2	11	1	8	1	1	1	1	1	1	1	1	1	1	8	8	8	8	2	8	2	2	5	5	5	5	5	18	5	5	5	5	5	5	6	16	47	47
460	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	1	2	1	10	3	3	3	3	3	3	1	4	1	10	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	17	5	5	5	5	5	5	54	5	54	54
470	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	12	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	15	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	11	2	11	11	3	3	3	3	3	3	9	12	3	9	5	11	1	1	1	1	8	8	1	8	1	1	1	1	3	3	10	10	10	10	10	10	1	10	1	1	1	1	1	1	1	1	1	1	5	17	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
480	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	2	2	11	11	3	3	3	3	3	3	3	4	3	3	2	11	1	1	1	1	8	8	8	8	1	8	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	1	33	33	5	5	5	5	5	33	5	5	5	5	5	5	49	5	49	49
490	19	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	10	1	1	1	2	11	2	8	1	1	1	1	1	1	4	4	15	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	4	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	9	2	9	9	3	3	3	3	3	3	3	15	3	3	0	9	1	1	1	1	2	2	1	8	1	1	10	10	3	3	10	10	10	10	10	10	10	10	1	1	1	1	1	1	1	1	5	10	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	19	19
500	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	1	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	24	2	24	24	3	3	3	3	3	3	3	4	3	3	8	24	1	1	1	1	1	8	1	1	1	1	1	1	3	3	10	10	10	10	10	10	10	10	1	1	1	1	1	1	1	1	1	10	1	8	5	5	5	5	5	17	5	5	5	5	5	5	49	5	49	49
510	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	8	11	2	8	1	1	1	1	1	1	1	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	4	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	14	4	3	14	3	3	3	3	3	3	3	3	2	2	3	11	3	3	3	3	3	3	1	13	0	10	0	9	1	1	1	1	1	8	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	5	5	5	5	5	17	5	5	5	5	5	5	34	5	34	34
520	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	3	11	1	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	3	11	3	3	3	3	3	3	3	4	3	3	3	3	1	1	1	1	1	10	1	1	1	1	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	5	5	5	5	5	17	5	5	5	5	5	5	0	16	16	16
530	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	10	11	3	3	3	3	3	3	3	15	3	3	1	10	1	1	1	1	21	8	6	21	1	6	1	1	3	3	10	10	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	17	5	5	5	5	5	5	62	5	62	62
540	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	3	4	4	4	3	3	3	3	3	3	3	3	2	2	14	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	10	3	1	14	10	10	3	3	3	3	3	3	3	15	3	3	1	10	1	1	1	1	8	8	8	8	1	8	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	17	5	5	5	5	5	5	60	5	60	60
550	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	11	11	2	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	11	11	3	3	3	3	3	3	4	4	3	15	2	11	1	1	1	1	3	11	1	10	1	1	1	1	3	3	10	10	10	10	1	10	1	1	1	1	1	1	1	1	1	1	1	1	2	8	5	5	5	5	5	18	5	5	5	5	5	5	46	5	46	46
560	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	1	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	4	15	2	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	14	14	2	14	2	11	3	3	3	3	11	11	2	2	2	11	3	3	3	3	3	3	4	4	3	15	11	11	1	1	1	1	1	8	1	1	1	1	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	24	5	5	5	5	5	18	5	5	5	5	5	5	51	5	51	51
570	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	3	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	3	11	3	3	3	3	3	3	4	4	3	15	3	3	1	1	1	1	6	24	1	6	1	1	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	5	5	5	5	5	17	5	5	5	5	5	5	19	5	19	19
580	55	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	11	11	3	3	3	3	3	3	4	4	3	15	11	11	1	1	1	1	8	8	1	8	1	1	1	1	1	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	5	5	5	5	17	17	5	17	5	5	5	5	5	5	55	55
590	40	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	11	3	3	1	1	1	1	1	1	3	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	3	11	3	3	3	3	3	3	4	4	3	15	3	3	1	1	1	1	24	24	24	24	3	24	1	1	2	11	8	8	24	24	24	24	10	24	1	1	1	1	1	1	1	1	10	10	1	10	5	5	5	5	17	17	5	17	5	5	5	5	5	5	40	40
600	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	15	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	3	11	3	3	3	3	3	3	4	4	3	15	3	3	1	1	1	1	8	8	8	8	2	8	1	1	2	11	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	2	8	2	11	5	5	5	5	5	18	5	5	5	5	5	5	5	5	16	16
610	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	3	3	1	1	1	1	1	1	8	11	1	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	1	2	10	10	3	3	3	3	3	3	4	4	3	15	10	10	1	1	1	1	1	8	1	1	1	1	1	1	2	11	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	10	5	5	5	5	5	5	5	5	5	5	5	5	35	5	35	35
620	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	1	4	35	10	35	35	1	1	1	1	1	8	1	1	1	1	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	35	5	5	5	5	5	5	5	5	5	5	5	5	33	5	33	33
630	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	11	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	3	11	3	3	3	3	3	3	3	3	4	4	3	15	10	3	1	1	1	1	1	8	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	10	5	5	5	5	5	5	5	5	5	5	5	5	55	5	55	55
640	48	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	1	11	1	8	1	1	1	1	1	1	4	4	14	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	4	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	2	2	3	11	3	3	3	3	3	3	4	14	3	15	1	3	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	17	5	5	5	5	5	5	5	5	48	48
650	61	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	1	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	2	2	11	11	10	3	10	10	10	10	4	4	1	29	1	24	1	1	1	1	1	8	1	1	1	1	1	1	3	3	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	17	5	5	5	5	5	5	5	5	61	61
660	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	10	3	1	1	1	1	1	1	2	11	8	8	27	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	15	15	3	15	3	3	1	1	1	27	8	8	8	8	1	8	1	1	1	10	1	1	1	1	1	1	1	1	10	1	1	10	1	1	10	1	19	10	5	19	5	5	5	5	5	5	5	5	5	5	5	5	17	5	17	17
670	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	11	2	3	1	1	1	1	1	1	3	11	10	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	24	2	24	24	3	3	3	3	3	3	15	15	3	15	24	24	1	1	1	1	10	10	1	10	1	1	1	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	24	5	5	5	5	5	5	5	5	5	5	5	5	62	5	62	62
680	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	17	1	24	11	3	3	1	1	1	1	1	1	2	11	2	8	1	1	1	1	1	1	4	4	4	4	3	3	15	3	3	3	3	3	2	2	11	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	3	3	3	3	3	3	3	3	3	11	3	3	3	3	15	15	15	15	4	4	3	15	3	3	1	1	8	1	2	2	1	8	1	1	1	1	1	24	1	1	1	1	17	17	17	17	1	1	1	1	1	1	1	1	35	17	5	35	5	5	5	5	5	5	5	5	5	5	5	5	55	5	55	55
690	55	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	17	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	3	11	24	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	11	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	15	3	3	11	11	3	3	3	3	11	11	2	2	3	11	3	3	3	3	3	3	4	4	3	15	3	3	1	1	1	1	8	24	1	8	1	1	10	1	3	3	10	10	10	10	10	10	10	10	1	17	1	1	1	1	1	1	10	10	6	10	5	5	5	5	5	31	5	5	5	5	5	5	5	5	55	55
700	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3	3	3	3	3	3	3	3	3	8	2	24	24	3	3	3	3	3	3	4	4	3	15	1	24	1	1	1	1	1	8	1	1	1	1	1	1	3	3	10	10	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	1	5	5	5	5	5	17	5	5	5	5	5	5	38	5	38	38
710	17	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	10	1	10	11	3	3	1	1	1	1	1	1	24	11	2	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3	15	3	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	15	3	3	3	3	1	1	1	1	10	24	3	10	1	10	1	1	1	10	1	1	1	1	10	10	10	10	1	1	1	1	1	1	1	1	10	10	1	10	5	5	5	5	5	17	5	5	5	5	5	5	9	5	47	47
720	40	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11	11	3	3	1	1	1	1	1	1	1	11	1	8	1	1	1	1	1	1	4	4	15	4	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	15	15	4	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	9	3	9	9	47	9	1	2	47	47	3	3	3	3	3	3	3	15	3	3	47	47	1	1	1	1	1	1	1	1	1	1	1	1	10	11	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	47	5	5	5	5	5	16	5	5	5	5	5	5	5	5	40	40
730	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	11	3	3	1	1	1	1	1	1	2	11	8	8	1	1	1	1	1	1	15	4	4	4	3	3	3	3	3	3	3	3	2	2	11	2	3	3	3	3	3	3	3	3	3	15	15	15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	15	15	3	15	3	3	3	3	3	3	3	3	3	11	3	3	3	3	3	3	3	3	3	15	3	3	3	3	1	1	1	1	8	8	1	8	1	1	1	1	10	3	10	10	1	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	10	5	5	5	5	5	17	5	5	5	5	5	5	35	5	35	35
